commonName,Type,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,redshift,redshift_lower,redshift_upper,p_astro,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW190930_133541,Binary Black Hole Collision,14.2,-4,8,6.9,-2.1,2.4,9.7,-0.5,0.3,770,-320,320,0.19,-0.16,0.22,21.2,-2,5.9,8.5,-0.4,0.5,0.16,-0.06,0.06,0.99785,20.2,-2,6.1
GW191103_012549,Binary Black Hole Collision,11.8,-2.2,6.2,7.9,-2.4,1.7,8.9,-0.5,0.3,990,-470,500,0.21,-0.1,0.16,20,-1.8,3.7,8.34,-0.57,0.66,0.2,-0.09,0.09,0.94318,19,-1.7,3.8
GW191105_143521,Binary Black Hole Collision,10.7,-1.6,3.7,7.7,-1.9,1.4,9.7,-0.5,0.3,1150,-480,430,-0.02,-0.09,0.13,18.5,-1.3,2.1,7.82,-0.45,0.61,0.23,-0.09,0.07,0.99,17.6,-1.2,2.1
GW191109_010717,Binary Black Hole Collision,65,-11,11,47,-13,15,17.3,-0.5,0.5,1290,-650,1130,-0.29,-0.31,0.42,112,-16,20,47.5,-7.5,9.6,0.25,-0.12,0.18,0.99,107,-15,18
GW191113_071753,Binary Black Hole Collision,29,-14,12,5.9,-1.3,4.4,7.9,-1.1,0.5,1370,-620,1150,0,-0.29,0.37,34.5,-9.8,10.5,10.7,-1,1.1,0.26,-0.11,0.18,0.68339,34,-10,11
GW191126_115259,Binary Black Hole Collision,12.1,-2.2,5.5,8.3,-2.4,1.9,8.3,-0.5,0.2,1620,-740,740,0.21,-0.11,0.15,20.7,-2,3.4,8.65,-0.71,0.95,0.3,-0.13,0.12,0.70041,19.6,-2,3.5
GW191127_050227,Binary Black Hole Collision,53,-20,47,24,-14,17,9.2,-0.6,0.7,3400,-1900,3100,0.18,-0.36,0.34,80,-22,39,29.9,-9.1,11.7,0.57,-0.29,0.4,0.73996,76,-21,39
GW191129_134029,Binary Black Hole Collision,10.7,-2.1,4.1,6.7,-1.7,1.5,13.1,-0.3,0.2,790,-330,260,0.06,-0.08,0.16,17.5,-1.2,2.4,7.31,-0.28,0.43,0.16,-0.06,0.05,0.99,16.8,-1.2,2.5
GW191204_110529,Binary Black Hole Collision,27.3,-5.9,10.8,19.2,-6,5.5,8.9,-0.6,0.4,1900,-1100,1700,0.05,-0.26,0.25,47.1,-7.8,9.1,19.8,-3.2,3.6,0.34,-0.18,0.25,0.74239,45,-7.5,8.7
GW191204_171526,Binary Black Hole Collision,11.7,-1.7,3.3,8.4,-1.7,1.3,17.4,-0.3,0.2,640,-260,200,0.16,-0.05,0.08,20.19,-0.95,1.64,8.56,-0.28,0.41,0.13,-0.05,0.04,0.99,19.18,-0.93,1.71
GW191215_223052,Binary Black Hole Collision,24.9,-4.1,7.1,18.1,-4.1,3.8,11.2,-0.4,0.3,1930,-860,890,-0.04,-0.21,0.17,43.3,-4.3,5.3,18.4,-1.7,2.2,0.35,-0.14,0.13,0.99,41.4,-4.1,5.1
GW191216_213338,Binary Black Hole Collision,12.1,-2.2,4.6,7.7,-1.9,1.6,18.6,-0.2,0.2,340,-130,120,0.11,-0.06,0.13,19.8,-0.93,2.7,8.33,-0.19,0.22,0.07,-0.03,0.02,0.99,18.87,-0.93,2.81
